TasksV2
AP_InertialSensor::update*       MIN=  11 MAX=  30 AVG=  12 OVR=  0 SLP=  0, TOT= 1.7%
Copter::run_rate_controller*     MIN=  12 MAX=  20 AVG=  13 OVR=  0 SLP=  0, TOT= 1.9%
Copter::motors_output*           MIN=  24 MAX=  49 AVG=  34 OVR=  0 SLP=  0, TOT= 4.8%
Copter::read_AHRS*               MIN= 186 MAX=1026 AVG= 476 OVR=  0 SLP=  0, TOT=65.9%
Copter::read_inertia*            MIN=   2 MAX=  96 AVG=   5 OVR=  0 SLP=  0, TOT= 0.7%
Copter::check_ekf_reset*         MIN=   2 MAX=  76 AVG=   3 OVR=  0 SLP=  0, TOT= 0.5%
Copter::update_flight_mode*      MIN=  32 MAX= 162 AVG=  56 OVR=  0 SLP=  0, TOT= 7.8%
Copter::update_home_from_EKF*    MIN=   1 MAX=  57 AVG=   1 OVR=  0 SLP=  0, TOT= 0.2%
Copter::update_land_and_crash_de MIN=   2 MAX=  70 AVG=   4 OVR=  0 SLP=  0, TOT= 0.6%
Copter::update_rangefinder_terra MIN=   2 MAX=  77 AVG=   4 OVR=  0 SLP=  0, TOT= 0.6%
AP_Mount::update_fast*           MIN=   1 MAX=  68 AVG=   1 OVR=  0 SLP=  0, TOT= 0.1%
Copter::Log_Video_Stabilisation* MIN=   1 MAX=  85 AVG=   1 OVR=  0 SLP=  0, TOT= 0.2%
AP_GyroFFT::sample_gyros*        MIN=   1 MAX=  77 AVG=   1 OVR=  0 SLP=  0, TOT= 0.1%
Copter::rc_loop                  MIN=   3 MAX=  70 AVG=   5 OVR=  0 SLP=  0, TOT= 0.7%
Copter::throttle_loop            MIN=   3 MAX=  62 AVG=   5 OVR=  0 SLP=  0, TOT= 0.1%
Copter::fence_check              MIN=   1 MAX=  32 AVG=   2 OVR=  0 SLP=  0, TOT= 0.0%
AP_GPS::update                   MIN=   4 MAX= 102 AVG=   8 OVR=  0 SLP=  0, TOT= 0.1%
AP_OpticalFlow::update           MIN=   1 MAX=  65 AVG=   1 OVR=  0 SLP=  0, TOT= 0.1%
Copter::update_batt_compass      MIN=   7 MAX=  76 AVG=  14 OVR=  0 SLP=  0, TOT= 0.0%
RC_Channels::read_aux_all        MIN=   3 MAX=  52 AVG=   5 OVR=  1 SLP=  0, TOT= 0.0%
Copter::arm_motors_check         MIN=   0 MAX=  50 AVG=   1 OVR=  0 SLP=  0, TOT= 0.0%
Copter::auto_disarm_check        MIN=   1 MAX=  14 AVG=   1 OVR=  0 SLP=  0, TOT= 0.0%
Copter::auto_trim                MIN=   0 MAX=  33 AVG=   1 OVR=  0 SLP=  0, TOT= 0.0%
Copter::read_rangefinder         MIN=  16 MAX= 115 AVG=  35 OVR=  4 SLP=  0, TOT= 0.2%
AP_Proximity::update             MIN=   1 MAX=  73 AVG=   3 OVR=  7 SLP=  0, TOT= 0.2%
AP_Beacon::update                MIN=   1 MAX=  79 AVG=   2 OVR= 10 SLP=  0, TOT= 0.4%
AP_Airspeed::update              MIN=   0 MAX=   6 AVG=   0 OVR=  0 SLP=  0, TOT= 0.0%
Copter::update_altitude          MIN=  15 MAX=  91 AVG=  26 OVR=  0 SLP=  0, TOT= 0.1%
Copter::run_nav_updates          MIN=   1 MAX=  47 AVG=   1 OVR=  0 SLP=  0, TOT= 0.0%
Copter::update_throttle_hover    MIN=   1 MAX=  72 AVG=   1 OVR=  0 SLP=  0, TOT= 0.1%
ModeSmartRTL::save_position      MIN=   1 MAX=   3 AVG=   2 OVR=  0 SLP=  0, TOT= 0.0%
AC_Sprayer::update               MIN=   0 MAX=   1 AVG=   0 OVR=  0 SLP=  0, TOT= 0.0%
Copter::three_hz_loop            MIN=   2 MAX=  41 AVG=   4 OVR=  0 SLP=  0, TOT= 0.0%
AP_ServoRelayEvents::update_even MIN=   1 MAX=  56 AVG=   1 OVR=  0 SLP=  0, TOT= 0.0%
Copter::update_precland          MIN=   1 MAX=  81 AVG=   3 OVR=  8 SLP=  0, TOT= 0.4%
Copter::loop_rate_logging        MIN=   1 MAX=  71 AVG=   2 OVR=  2 SLP=  0, TOT= 0.3%
Compass::cal_update              MIN=   1 MAX=  53 AVG=   2 OVR=  0 SLP=  0, TOT= 0.1%
AP_Notify::update                MIN=   2 MAX=  68 AVG=   4 OVR=  0 SLP=  0, TOT= 0.1%
Copter::one_hz_loop              MIN=  21 MAX=  79 AVG=  41 OVR=  0 SLP=  0, TOT= 0.0%
Copter::ekf_check                MIN=   1 MAX=  18 AVG=   1 OVR=  0 SLP=  0, TOT= 0.0%
Copter::check_vibration          MIN=   2 MAX=  34 AVG=   3 OVR=  0 SLP=  0, TOT= 0.0%
Copter::gpsglitch_check          MIN=   1 MAX=  17 AVG=   1 OVR=  0 SLP=  0, TOT= 0.0%
Copter::takeoff_check            MIN=   1 MAX=  38 AVG=   1 OVR=  0 SLP=  0, TOT= 0.0%
Copter::landinggear_update       MIN=   1 MAX=  45 AVG=   2 OVR=  0 SLP=  0, TOT= 0.0%
Copter::standby_update           MIN=   1 MAX=  51 AVG=   1 OVR=  0 SLP=  0, TOT= 0.1%
Copter::lost_vehicle_check       MIN=   2 MAX=  31 AVG=   3 OVR=  0 SLP=  0, TOT= 0.0%
GCS::update_receive              MIN=  10 MAX= 496 AVG=  21 OVR= 11 SLP=  0, TOT= 3.0%
GCS::update_send                 MIN=  13 MAX= 343 AVG=  26 OVR=  0 SLP=  0, TOT= 3.6%
AP_Mount::update                 MIN=   0 MAX=  74 AVG=   1 OVR=  0 SLP=  0, TOT= 0.0%
AP_Camera::update                MIN=   1 MAX=  48 AVG=   1 OVR=  0 SLP=  0, TOT= 0.0%
Copter::ten_hz_logging_loop      MIN=  70 MAX= 189 AVG= 110 OVR=  0 SLP=  0, TOT= 0.3%
Copter::twentyfive_hz_logging    MIN=   1 MAX=  27 AVG=   3 OVR=  0 SLP=  0, TOT= 0.0%
AP_Logger::periodic_tasks        MIN=   6 MAX= 107 AVG=  12 OVR=  0 SLP=  0, TOT= 1.8%
AP_InertialSensor::periodic      MIN=   1 MAX=  82 AVG=   1 OVR=  7 SLP=  0, TOT= 0.1%
AP_Scheduler::update_logging     MIN=  11 MAX=  11 AVG=  11 OVR=  0 SLP=  0, TOT= 0.0%
AP_RPM::update                   MIN=   1 MAX=  25 AVG=   1 OVR=  0 SLP=  0, TOT= 0.0%
AP_TempCalibration::update       MIN=   1 MAX=  14 AVG=   0 OVR=  0 SLP=  0, TOT= 0.0%
Copter::avoidance_adsb_update    MIN=   8 MAX=  54 AVG=  14 OVR=  0 SLP=  0, TOT= 0.0%
Copter::terrain_update           MIN=   4 MAX=  39 AVG=   6 OVR=  0 SLP=  0, TOT= 0.0%
AP_Winch::update                 MIN=   1 MAX=  46 AVG=   2 OVR=  0 SLP=  0, TOT= 0.0%
AP_Button::update                MIN=   0 MAX=   1 AVG=   0 OVR=  0 SLP=  0, TOT= 0.0%
AP_NMEA_Output::update           MIN=   1 MAX=  24 AVG=   1 OVR=  0 SLP=  0, TOT= 0.0%
AP_RunCam::update                MIN=   1 MAX=  28 AVG=   1 OVR=  0 SLP=  0, TOT= 0.0%
AP_GyroFFT::update               MIN=   2 MAX= 102 AVG=   3 OVR= 10 SLP=  0, TOT= 0.4%
AP_GyroFFT::update_parameters    MIN=   1 MAX=   1 AVG=   0 OVR=  0 SLP=  0, TOT= 0.0%
AP_Vehicle::update_dynamic_notch MIN=   1 MAX=  81 AVG=   2 OVR=  0 SLP=  0, TOT= 0.3%
AP_VideoTX::update               MIN=   1 MAX=  19 AVG=   2 OVR=  0 SLP=  0, TOT= 0.0%
AP_Tramp::update                 MIN=   1 MAX=  42 AVG=   1 OVR=  0 SLP=  0, TOT= 0.0%
AP_Vehicle::send_watchdog_reset_ MIN=   1 MAX=   1 AVG=   1 OVR=  0 SLP=  0, TOT= 0.0%
AP_ESC_Telem::update             MIN=  19 MAX= 110 AVG=  31 OVR=124 SLP=  0, TOT= 1.1%
AP_Generator::update             MIN=   1 MAX=   1 AVG=   0 OVR=  0 SLP=  0, TOT= 0.0%
