ThreadsV2
ISR           PRI=255 sp=0x30000000 STACK=1252/1536
ArduCopter    PRI=182 sp=0x30000600 STACK=3968/7168
idle          PRI=  1 sp=0x30020F08 STACK=288/496
UART_RX       PRI= 60 sp=0x3003B138 STACK=848/1200
OTG1          PRI= 60 sp=0x3003A1F0 STACK=328/752
monitor       PRI=183 sp=0x3001CD10 STACK=1096/1456
timer         PRI=181 sp=0x3001E2D0 STACK=1568/1968
rcout         PRI=181 sp=0x3001D8F0 STACK=664/944
rcin          PRI=177 sp=0x3001D300 STACK=1072/1456
io            PRI= 58 sp=0x3001C320 STACK=1576/2480
storage       PRI= 59 sp=0x3001DCE0 STACK=896/1456
UART2         PRI= 60 sp=0x30039038 STACK=304/752
UART3         PRI= 60 sp=0x300384F0 STACK=328/752
UART4         PRI= 60 sp=0x30037928 STACK=328/752
UART8         PRI= 60 sp=0x30036D60 STACK=408/752
UART7         PRI= 60 sp=0x30036218 STACK=328/752
OTG2          PRI= 60 sp=0x300352D0 STACK=408/752
UART6         PRI=181 sp=0x30034450 STACK=336/752
IOMCU         PRI=183 sp=0x3002A020 STACK=904/1456
log_io        PRI= 59 sp=0x3002A970 STACK=1504/2016
SPI4          PRI=181 sp=0x3002B378 STACK=816/1456
SPI1          PRI=181 sp=0x3002BA68 STACK=816/1456
FTP           PRI= 58 sp=0x20006C88 STACK=1368/2992
