TasksV2
AP_InertialSensor::update*       MIN=  19 MAX=1831 AVG=  54 OVR=  0 SLP=  0, TOT= 0.6%
Copter::run_rate_controller_main MIN=  12 MAX=1654 AVG=  30 OVR=  0 SLP=  0, TOT= 0.3%
Copter::motors_output_main*      MIN=   3 MAX= 488 AVG=   7 OVR=  0 SLP=  0, TOT= 0.1%
Copter::read_AHRS*               MIN=2703 MAX=9999 AVG=5226 OVR=999 SLP=  0, TOT=65.7%
Copter::read_inertia*            MIN=  84 MAX=2094 AVG= 233 OVR=  0 SLP=  0, TOT= 3.0%
Copter::check_ekf_reset*         MIN=  17 MAX=1566 AVG=  43 OVR=  0 SLP=  0, TOT= 0.5%
Copter::update_flight_mode*      MIN= 687 MAX=3221 AVG=1566 OVR=176 SLP=  0, TOT=20.1%
Copter::update_home_from_EKF*    MIN=  15 MAX=1516 AVG=  42 OVR=  0 SLP=  0, TOT= 0.5%
Copter::update_land_and_crash_de MIN=  53 MAX=2033 AVG= 176 OVR=  0 SLP=  0, TOT= 2.3%
Copter::update_rangefinder_terra MIN=  26 MAX=1891 AVG= 101 OVR=  0 SLP=  0, TOT= 1.3%
AP_Mount::update_fast*           MIN=   4 MAX=1420 AVG=  16 OVR=  0 SLP=  0, TOT= 0.2%
Copter::Log_Video_Stabilisation* MIN=   5 MAX=1410 AVG=  17 OVR=  0 SLP=  0, TOT= 0.2%
Copter::rc_loop                  MIN=  30 MAX=1550 AVG=  74 OVR=  0 SLP=  0, TOT= 0.9%
Copter::throttle_loop            MIN=  60 MAX= 732 AVG= 123 OVR= 46 SLP=  0, TOT= 0.1%
Copter::fence_check              MIN=   5 MAX= 339 AVG=  15 OVR=  3 SLP=  0, TOT= 0.0%
AP_GPS::update                   MIN=  78 MAX=1520 AVG= 199 OVR= 35 SLP=  0, TOT= 0.3%
AP_OpticalFlow::update           MIN=   4 MAX= 630 AVG=  15 OVR= 14 SLP=  0, TOT= 0.1%
