TasksV2
AP_InertialSensor::update*       MIN=  20 MAX=1925 AVG=  89 OVR=  0 SLP=  0, TOT= 1.0%
Copter::run_rate_controller_main MIN=  14 MAX= 283 AVG=   0 OVR=  0 SLP=  0, TOT= 0.4%
Copter::motors_output_main*      MIN=   3 MAX= 159 AVG=   6 OVR=  0 SLP=  0, TOT= 0.0%
Copter::read_AHRS*               MIN=2672 MAX=6344 AVG=4220 OVR= 18 SLP=  0, TOT= 1.8%
Copter::read_inertia*            MIN=  83 MAX=1549 AVG= 174 OVR=  0 SLP=  0, TOT= 0.1%
Copter::check_ekf_reset*         MIN=  18 MAX= 553 AVG=  55 OVR=  0 SLP=  0, TOT= 0.0%
Copter::update_flight_mode*      MIN= 745 MAX=2872 AVG=1521 OVR=  0 SLP=  0, TOT= 0.7%
Copter::update_home_from_EKF*    MIN=  15 MAX= 534 AVG=  30 OVR=  0 SLP=  0, TOT= 0.0%
Copter::update_land_and_crash_de MIN=  57 MAX=1576 AVG= 167 OVR=  0 SLP=  0, TOT= 0.1%
Copter::update_rangefinder_terra MIN=  26 MAX=1325 AVG= 107 OVR=  0 SLP=  0, TOT= 0.1%
AP_Mount::update_fast*           MIN=   4 MAX= 338 AVG=  11 OVR=  0 SLP=  0, TOT= 0.0%
Copter::Log_Video_Stabilisation* MIN=   4 MAX= 561 AVG=  21 OVR=  0 SLP=  0, TOT= 0.0%
Copter::rc_loop                  MIN=  31 MAX=1303 AVG=  80 OVR=  0 SLP=  0, TOT= 0.1%
Copter::throttle_loop            MIN=  59 MAX= 201 AVG=  69 OVR=  7 SLP=  0, TOT= 0.0%
Copter::fence_check              MIN=   7 MAX= 246 AVG=  25 OVR=  2 SLP=  0, TOT= 0.0%
AP_GPS::update                   MIN=  78 MAX= 600 AVG= 120 OVR=  4 SLP=  0, TOT= 0.0%
AP_OpticalFlow::update           MIN=   5 MAX= 331 AVG=  12 OVR=  1 SLP=  0, TOT= 0.0%
