TasksV2
AP_InertialSensor::update*       MIN=  21 MAX=1395 AVG=  55 OVR=  0 SLP=  0, TOT= 0.6%
Copter::run_rate_controller_main MIN=  13 MAX=1615 AVG=  32 OVR=  0 SLP=  0, TOT= 0.3%
Copter::motors_output_main*      MIN=   3 MAX= 459 AVG=   7 OVR=  0 SLP=  0, TOT= 0.1%
Copter::read_AHRS*               MIN=2586 MAX=6962 AVG=4448 OVR=412 SLP=  0, TOT=57.0%
Copter::read_inertia*            MIN=  87 MAX=2045 AVG= 191 OVR=  0 SLP=  0, TOT= 2.5%
Copter::check_ekf_reset*         MIN=  17 MAX=1598 AVG=  43 OVR=  0 SLP=  0, TOT= 0.5%
Copter::update_flight_mode*      MIN= 722 MAX=3267 AVG=1607 OVR=  0 SLP=  0, TOT=20.8%
Copter::update_home_from_EKF*    MIN=  15 MAX=1299 AVG=  39 OVR=  0 SLP=  0, TOT= 0.5%
Copter::update_land_and_crash_de MIN=  57 MAX=2011 AVG= 176 OVR=  0 SLP=  0, TOT= 2.4%
Copter::update_rangefinder_terra MIN=  28 MAX=1987 AVG=  82 OVR=  0 SLP=  0, TOT= 1.1%
AP_Mount::update_fast*           MIN=   4 MAX=1159 AVG=  12 OVR=  0 SLP=  0, TOT= 0.1%
Copter::Log_Video_Stabilisation* MIN=   4 MAX=1068 AVG=  13 OVR=  0 SLP=  0, TOT= 0.1%
Copter::rc_loop                  MIN=  32 MAX=1637 AVG=  74 OVR=  0 SLP=  0, TOT= 1.0%
Copter::throttle_loop            MIN=  59 MAX=1980 AVG= 142 OVR= 96 SLP=  0, TOT= 0.4%
Copter::fence_check              MIN=   5 MAX=1064 AVG=  16 OVR=  3 SLP=  0, TOT= 0.0%
AP_GPS::update                   MIN=  77 MAX=2216 AVG= 155 OVR= 41 SLP=  0, TOT= 0.5%
AP_OpticalFlow::update           MIN=   5 MAX= 550 AVG=  15 OVR= 27 SLP=  0, TOT= 0.2%
Copter::update_batt_compass      MIN= 121 MAX=1995 AVG= 325 OVR= 70 SLP=  0, TOT= 0.2%
RC_Channels::read_aux_all        MIN=   7 MAX= 275 AVG=  21 OVR=  4 SLP=  0, TOT= 0.0%
Copter::auto_disarm_check        MIN=   9 MAX= 397 AVG=  25 OVR=  5 SLP=  0, TOT= 0.0%
RC_Channels_Copter::auto_trim_ru MIN=   9 MAX= 246 AVG=  13 OVR=  1 SLP=  0, TOT= 0.0%
Copter::read_rangefinder         MIN= 184 MAX=2093 AVG= 337 OVR=142 SLP=  0, TOT= 0.4%
AP_Proximity::update             MIN=  11 MAX=1658 AVG=  34 OVR= 86 SLP=  0, TOT= 0.4%
AP_Beacon::update                MIN=   6 MAX=1172 AVG=  17 OVR= 51 SLP=  0, TOT= 0.2%
