ThreadsV2
ISR           PRI=255 sp=0x20000000 STACK=7984/8192
ArduCopter    PRI=180 sp=0x20002000 STACK=5528/7168
idle          PRI=  1 sp=0x2001C640 STACK=240/4294966900
UART_RX       PRI= 60 sp=0x2007CC40 STACK=844/1024
OTG1          PRI= 60 sp=0x2007BD20 STACK=320/576
monitor       PRI=183 sp=0x20019000 STACK=1560/1792
timer         PRI=181 sp=0x2001B300 STACK=2016/2304
rcout         PRI=181 sp=0x2001A580 STACK=1608/1792
rcin          PRI=177 sp=0x200197C0 STACK=3184/3328
io            PRI= 58 sp=0x20018640 STACK=1552/2304
storage       PRI= 59 sp=0x2001AD40 STACK=564/1280
log_io        PRI= 59 sp=0x200771A0 STACK=1440/1824
I2C0          PRI=176 sp=0x20076880 STACK=760/1280
SPI0          PRI=181 sp=0x2006F420 STACK=600/1280
UART1         PRI= 60 sp=0x2006F080 STACK=368/576
rate          PRI=182 sp=0x2006CD60 STACK=1080/1792
FTP           PRI= 61 sp=0x20072020 STACK=6928/8448
