ThreadsV2
ISR           PRI=255 sp=0x20000000 STACK=12064/12288
ArduCopter    PRI=180 sp=0x20003000 STACK=5552/7168
idle          PRI=  1 sp=0x2002AE40 STACK=240/4294966900
UART_RX       PRI= 60 sp=0x2007CC40 STACK=844/1024
OTG1          PRI= 60 sp=0x2007BD20 STACK=320/576
monitor       PRI=183 sp=0x20027000 STACK=2072/2304
timer         PRI=181 sp=0x20029B00 STACK=2016/2304
rcout         PRI=181 sp=0x20028B80 STACK=2120/2304
rcin          PRI=177 sp=0x200279C0 STACK=4208/4352
io            PRI= 58 sp=0x20026640 STACK=1552/2304
storage       PRI= 59 sp=0x20029540 STACK=564/1280
log_io        PRI= 59 sp=0x20077180 STACK=1408/1824
I2C0          PRI=176 sp=0x20076860 STACK=760/1280
FTP           PRI= 61 sp=0x20071640 STACK=6864/8448
SPI0          PRI=181 sp=0x2006F500 STACK=600/1280
UART1         PRI= 60 sp=0x2006F160 STACK=360/576
rate          PRI=182 sp=0x2006CE40 STACK=1072/1792
