ThreadsV2
ISR           PRI=255 sp=0x20000000 STACK=16168/16384
ArduCopter    PRI=180 sp=0x20004000 STACK=5464/7168
idle          PRI=  1 sp=0x2002F040 STACK=240/4294966900
UART_RX       PRI= 60 sp=0x2007CC40 STACK=844/1024
OTG1          PRI= 60 sp=0x2007BD20 STACK=320/576
monitor       PRI=183 sp=0x20029200 STACK=4120/4352
timer         PRI=181 sp=0x2002DD00 STACK=2016/2304
rcout         PRI=181 sp=0x2002C580 STACK=4168/4352
rcin          PRI=177 sp=0x2002A3C0 STACK=8304/8448
io            PRI= 58 sp=0x20028840 STACK=1552/2304
storage       PRI= 59 sp=0x2002D740 STACK=564/1280
log_io        PRI= 59 sp=0x20077180 STACK=1432/1824
I2C0          PRI=176 sp=0x20076860 STACK=760/1280
FTP           PRI= 61 sp=0x20071EC0 STACK=6864/8448
SPI0          PRI=181 sp=0x2006F4E0 STACK=600/1280
UART1         PRI= 60 sp=0x2006F140 STACK=368/576
rate          PRI=182 sp=0x2006CE20 STACK=1080/1792
