ThreadsV2
ISR           PRI=255 sp=0x20000000 STACK=3888/4096
ArduCopter    PRI=180 sp=0x20001000 STACK=5520/7168
idle          PRI=  1 sp=0x20019C60 STACK=240/4294966900
UART_RX       PRI= 60 sp=0x2007CC40 STACK=872/1024
OTG1          PRI= 60 sp=0x2007BD20 STACK=320/576
monitor       PRI=183 sp=0x20017020 STACK=1048/1280
timer         PRI=181 sp=0x20018B20 STACK=1504/1792
rcout         PRI=181 sp=0x20017FA0 STACK=1096/1280
rcin          PRI=177 sp=0x200175E0 STACK=2160/2304
io            PRI= 58 sp=0x20016660 STACK=1552/2304
storage       PRI= 59 sp=0x20018560 STACK=564/1280
log_io        PRI= 59 sp=0x200771A0 STACK=1440/1824
I2C0          PRI=176 sp=0x20076880 STACK=760/1280
SPI0          PRI=181 sp=0x20071CC0 STACK=600/1280
UART1         PRI= 60 sp=0x20071940 STACK=360/576
rate          PRI=182 sp=0x2006F600 STACK=1024/1792
FTP           PRI= 61 sp=0x2006CDC0 STACK=5016/6400
